ahmedmourshedi/Automation-Testing-of-ECommerce-WebsiteUsingSelenium	11	799
adamrushuk/powershell-pipeline	6	1379
Ableton/python-pipeline-utils	32	1781
aiwithqasim/Capstone-Project-Devops	17	1376
alexguzun/jenkins-pipeline-gitflow-maven	49	3634
allcloud-io/jenkins-pipeline-tutorial	29	942
AmanPathak-DevOps/EKS-Terraform-GitHub-Actions	154	1929
alanmacgowan/WebApplication	6	6910
arun-gupta/docker-jenkins-pipeline	80	1274
awslabs/aws-codepipeline-plugin-for-jenkins	82	124
aws-samples/ecs-bg-external-controller	10	17055
BBVA/mirrorgate	128	1181
bcgov/openshift-wiki	18	78
beifei1/fire-cloud	16	4390
Ben1980/jenkinsexample	21	1676
Blazemeter/taurus	2108	4448
bmustiata/jenny	90	2013
bszeti/kubernetes-integration-test	31	4742
buildit/jenkins-pipeline-libraries	82	546
camiloribeiro/cdeasy	144	2463
captjt/jenkins-pipeline-express	7	1668
boozallen/devsecops-example-helloworld	100	9643
Chabane/mitosis-microservice-spark-cassandra	5	984
chrsoo/microservices	7	80
charlires/golang-docker-jenkins	21	439
cinqict/jenkinsdev	5	177
clintmod/unit-testing-jenkinsfile	9	2575
cloudogu/ces-build-lib	79	2683
cloudogu/continuous-delivery-slides	5	7997
cloud-bulldozer/scale-ci-pipeline	17	15620
cloudogu/gitops-playground	266	12821
cloudogu/gitops-build-lib	34	1549
cloudogu/reveal.js-docker-example	7	8279
choiis/Cpp-IOCP-Server	12	799
concur/jenkins-yml-workflowLibs	4	126
cvitter/jenkins-pipeline-examples	97	358
darinpope/jenkinsfile-library	63	280
DeekshithSN/Jenkinsfile	10	697
devops-ws/learn-pipeline-java	19	466
eldada/jenkins-pipeline-kubernetes	226	13498
eggsy84/gcp-spring-boot-app	6	2083
everflux/angular-jenkinsfile	12	1438
esign-consulting/logistics	4	3898
evry-ace/jenkins-ace-library	7	945
fabric8io/fabric8-pipeline-library	436	348
fabric8io/fabric8-platform	104	801
fatimajamali81/jenkins-iis-cicd-pipeline	4	3576
executeautomation/JenkinsPipeline	9	1152
gdemengin/pipeline-logparser	18	52658
gfkse/jenkins-shared-library	22	70
griddynamics-archive/mpl	165	34
HariSekhon/DevOps-Bash-tools	8353	2269
hamitmizrak/Devops_Jenkinsfile	3	382
HariSekhon/Templates	188	19
HariSekhon/Jenkins	95	56749
hakdogan/jenkins-pipeline	102	1971
holdennguyen/cicd-pipeline-java-webapp	25	2587
HariSekhon/Nagios-Plugins	1149	2263
hungbang/spring-boot-aws-docdb-example	4	2753
ishrivatsa/terraform-vault-jenkins	8	1290
j8kin/habr-jenkinsfile	5	4404
jalogut/jenkinsfile-basic-sample	28	746
jalogut/jenkinsfile-shared-library-sample	11	151
jenkinsci/bitbucket-push-and-pull-request-plugin	50	483
jenkinsci/amazon-ecs-plugin	197	124
jenkinsci/artifact-promotion-plugin	29	365
jenkinsci/ci.jenkins.io-runner	36	576
